1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
391.625,17.40,80.04,2.4085,348,,4.485,-0.9102,366.2,16.39,59.63,2381.45,113.24,31,18.02,398.82,17.05,348,1.09600005,1.010832605,0.848795088,1.021770319
392.563,17.45,79.19,2.2572,349,,4.632,-1.3449,366.39,16.4,42.64,2392.61,113.65,23,18.04,399.24,18.25,349,1.172980427,1.088728541,0.945331539,1.101975066
393.5,17.50,77.00,1.8687,350,,4.649,-1.3959,366.57,16.41,45.41,2407.21,114.23,10,18.06,399.66,18.2,350,-0.52655591,-0.509612871,-0.480349335,-0.513367387
394.438,17.55,73.74,1.2906,351,,4.643,-1.3792,366.76,16.42,83.16,2410.58,114.4,10,18.08,400.08,17.59,351,0,0,0,0
395.375,17.60,71.32,0.8613,352,,4.529,-1.0437,367.13,16.44,65.78,2413.96,114.57,5,18.1,400.5,18.81,352,0,0,0,0
396.312,17.65,75.84,1.6610,353,,4.43,-0.7525,367.13,16.44,86.84,2420.52,114.9,63,18.12,400.92,18.54,353,0,0,0,0
397.25,17.70,81.31,2.6291,354,,4.43,-0.7534,367.5,16.46,53.94,2424.69,115.11,84,18.14,401.33,17.87,354,0,0,0,0
398.188,17.75,81.99,2.7488,355,,4.541,-1.0819,367.5,16.46,74.19,2428.66,115.31,102,18.16,401.75,18.21,355,0,0,0,0
399.125,17.80,82.22,2.7888,356,,4.456,-0.8320,367.87,16.48,92.86,2435.62,115.66,152,18.18,402.17,18.16,356,0,0,0,0
400.062,17.85,82.34,2.8093,357,,4.565,-1.1545,367.87,16.48,60.41,2439.73,115.84,160,18.2,402.59,20.09,357,0,0,0,0
401,17.90,82.51,2.8387,358,,4.563,-1.1495,368.24,16.5,90.67,2448.55,116.22,110,18.23,403.22,19.21,358,0,0,0,0
401.938,17.95,83.65,3.0398,359,,4.498,-0.9586,368.24,16.5,50.36,2453.19,116.42,26,18.25,403.63,18.33,359,0,0,0,0
402.875,18.00,80.98,2.5663,360,,4.555,-1.1278,368.62,16.52,56.62,2464.79,116.92,12,18.27,404.05,18.37,360,0,0,0,0
403.812,18.05,73.85,1.3028,361,,4.489,-0.9339,368.62,16.52,46.49,2469.44,117.12,7,18.29,404.47,19.07,361,0,0,0,0
404.75,18.10,83.02,2.9261,362,,4.518,-1.0204,368.99,16.54,65.26,2478.72,117.52,32,18.31,404.89,18.69,362,0,0,0,0
405.688,18.15,78.91,2.1975,363,,4.514,-1.0095,368.99,16.54,63.84,2483.36,117.72,101,18.33,405.31,18.53,363,0,0,0,0
406.625,18.20,84.70,3.2222,364,,4.376,-0.6032,369.36,16.56,77,2488,117.92,141,18.35,405.73,19.65,364,0,0,0,0
407.562,18.25,85.28,3.3242,365,,4.44,-0.7930,369.73,16.58,78.88,2494.94,118.32,47,18.37,406.14,18.91,365,0,0,0,0
408.5,18.30,84.97,3.2685,366,,4.306,-0.3985,370.1,16.6,88.5,2498.41,118.52,13,18.39,406.56,18.32,366,0,0,0,0
409.438,18.35,84.53,3.1899,367,,4.382,-0.6237,370.47,16.62,60.1,2501.88,118.72,8,18.43,407.4,18.01,367,0,0,0,0
410.375,18.40,84.57,3.1962,368,,4.399,-0.6748,370.85,16.64,45.32,2505.35,118.92,16,18.45,407.82,20,368,0,0,0,0
411.313,18.45,83.08,2.9316,369,,4.383,-0.6285,371.22,16.66,41.88,2512.29,119.32,59,18.47,408.23,17.98,369,0,0,0,0
412.25,18.50,83.43,2.9929,370,,4.36,-0.5615,371.59,16.68,49.14,2519.22,119.72,334,18.49,408.65,18.33,370,0,0,0,0
413.188,18.55,82.56,2.8381,371,,4.288,-0.3500,371.96,16.7,37.08,2526.84,120.12,206,18.51,409.07,18.35,371,0,0,0,0
414.125,18.60,82.53,2.8320,372,,4.423,-0.7493,372.33,16.72,43.18,2530.88,120.32,114,18.53,409.49,18.46,372,0,0,0,0
415.062,18.65,82.39,2.8065,373,,4.284,-0.3400,372.7,16.74,36.65,2542.99,120.92,8,18.55,409.91,17.61,373,0,0,0,0
416,18.70,78.89,2.1859,374,,4.338,-0.5003,373.08,16.76,49.1,2547.03,121.12,6,18.57,410.32,18.07,374,0,0,0,0
416.938,18.75,80.23,2.4225,375,,4.207,-0.1147,373.63,16.79,54.84,2555.1,121.52,9,18.6,410.95,16.54,375,-1.847677691,-1.747005377,-1.571121698,-1.762636707
417.875,18.80,81.19,2.5918,376,,4.187,-0.0566,374.01,16.81,56.55,2579.44,122.72,8,18.64,411.79,16.32,376,-1.800499759,-1.70493171,-1.536065831,-1.71994917
418.812,18.85,81.40,2.6283,377,,4.198,-0.0900,374.38,16.83,50.78,2584.93,122.99,15,18.66,412.21,16.48,377,-1.495349068,-1.402691124,-1.254833185,-1.41784971
419.75,18.90,80.24,2.4221,378,,4.172,-0.0142,374.75,16.85,68.4,2598.57,123.66,128,18.68,412.62,16.36,378,-1.080559727,-0.999036869,-0.88576819,-1.012790851
420.688,18.95,78.54,2.1203,379,,4.173,-0.0180,375.12,16.87,62.15,2604.07,123.89,133,18.7,413.04,15.98,379,-1.954099477,-1.81497891,-1.627400724,-1.841061694
421.625,19.00,77.24,1.8894,380,,4.2,-0.0986,375.49,16.89,75.83,2607.12,124.01,145,18.72,413.46,17.72,380,-1.375081557,-1.266126509,-1.05406889,-1.278247303
422.562,19.05,76.12,1.6903,381,,4.143,0.0687,376.24,16.93,46.94,2609.91,124.12,80,18.74,413.88,18.56,381,-0.389263072,-0.356022143,-0.159356235,-0.343353366
423.5,19.10,74.19,1.3478,382,,4.051,0.3392,376.61,16.95,23.66,2619.31,124.49,19,18.76,414.3,19.1,382,-1.010368997,-0.934509862,-0.727223652,-0.935823149
424.438,19.15,71.53,0.8759,383,,4.117,0.1435,376.98,16.97,25.38,2632.02,124.99,12,18.78,414.72,18.8,383,-1.303620564,-1.210861645,-1.025007281,-1.220646497
425.375,19.20,68.79,0.3900,384,,4.105,0.1780,377.35,16.99,27.98,2642.19,125.39,40,18.8,415.13,19.14,384,0.282490041,0.288076962,0.482709518,0.311443861
426.312,19.25,61.60,-0.8841,385,,4.122,0.1270,377.72,17.01,27.09,2658.42,126.09,9,18.81,415.34,18.22,385,0.767702021,0.762414589,0.806547297,0.772968532
427.25,19.30,57.36,-1.6358,386,,4.06,0.3090,378.12,17.03,29.69,2662.94,126.29,12,18.83,415.76,18.38,386,1.345274386,1.31474647,1.287987602,1.326740053
428.188,19.35,56.64,-1.7640,387,,3.964,0.5913,378.54,17.05,24.73,2676.48,126.89,7,18.85,416.18,18.93,387,1.30055919,1.340468896,1.263066895,1.322927209
429.125,19.40,56.42,-1.8037,388,,3.919,0.7232,378.96,17.07,23.69,2681,127.09,20,18.87,416.6,19.04,388,1.140341557,1.178259133,1.068850114,1.159155297
430.063,19.45,57.46,-1.6202,389,,3.9,0.7783,379.38,17.09,31.11,2687.77,127.39,70,18.89,417.02,16.99,389,0.921715657,0.960345687,0.844739972,0.940011687
431,19.50,58.16,-1.4970,390,,3.941,0.6565,379.8,17.11,30.98,2691.02,127.59,52,18.91,417.43,18.47,390,0.65417267,0.704528008,0.580628294,0.678376222
431.938,19.55,58.18,-1.4942,391,,3.997,0.4903,380.42,17.14,26.12,2700.57,128.19,44,18.93,417.85,18.26,391,0.344315511,0.397336013,0.257367866,0.366759319
432.875,19.60,57.32,-1.6472,392,,3.968,0.5749,380.84,17.16,26.12,2710.11,128.79,70,18.95,418.27,17.91,392,0.219107881,0.275340465,0.115344257,0.239726131
433.812,19.65,56.01,-1.8799,393,,3.857,0.9016,381.26,17.18,22.86,2714.89,129.09,93,18.97,418.69,18.08,393,-0.059869906,-0.006479537,-0.151928479,-0.040383628
434.716,19.70,54.82,-2.0914,394,,3.919,0.7177,381.68,17.2,26.27,2716.73,129.19,127,18.99,419.11,17.1,394,-0.441351057,-0.381882762,-0.51248338,-0.417423763
435.61,19.75,55.57,-1.9592,395,,3.759,1.1889,382.1,17.22,26.38,2721.61,129.39,74,19,419.32,18.07,395,-0.734898551,-0.678122801,-0.685567625,-0.700123806
436.505,19.80,58.04,-1.5225,396,,3.715,1.3178,382.51,17.24,24.01,2728.93,129.69,67,19.02,419.74,17.98,396,-1.60717422,-1.533826897,-1.383057602,-1.543938589
437.399,19.85,56.67,-1.7658,397,,3.465,2.0546,382.93,17.26,28.15,2738.68,130.09,13,19.04,420.15,16.54,397,-1.305695765,-1.244352266,-1.175723962,-1.263155442
438.294,19.90,56.27,-1.8374,398,,3.503,1.9415,383.77,17.3,31.15,2750.88,130.59,7,19.06,420.57,18,398,-0.982223926,-0.918227746,-0.881441429,-0.942512194
439.188,19.95,59.61,-1.2465,399,,3.521,1.8875,384.19,17.32,40.86,2765.51,131.19,19,19.08,420.99,16.86,399,-0.886033358,-0.817315874,-0.801054281,-0.84567287
440.083,20.00,59.35,-1.2933,400,,3.29,2.5682,384.61,17.34,56.63,2775.27,131.59,10,19.1,421.41,17.7,400,-0.629464214,-0.589728279,-0.627224435,-0.611908504
440.977,20.05,59.20,-1.3205,401,,3.189,2.8653,385.02,17.36,49.61,2789.9,132.19,11,19.12,421.83,17.19,401,-0.383817445,-0.332446422,-0.421448428,-0.358399194
441.872,20.10,60.06,-1.1689,402,,3.202,2.8260,385.44,17.38,44.01,2798.93,132.56,35,19.14,422.24,18.08,402,-0.222705891,-0.10910431,-0.225487184,-0.159302448
442.766,20.15,60.22,-1.1413,403,,3.154,2.9667,385.86,17.4,22.75,2804.05,132.77,26,19.16,422.66,17.7,403,0.136188239,0.199660631,0.05172422,0.162455988
443.661,20.20,61.19,-0.9702,404,,3.199,2.8330,386.28,17.42,29.83,2809.05,132.97,48,19.18,423.08,17.37,404,0.243083299,0.297714471,0.191491427,0.267867285
444.555,20.25,61.52,-0.9124,405,,3.114,3.0829,386.7,17.44,22.88,2818.98,133.36,7,19.19,423.29,16.68,405,0.76396669,0.726806385,0.820300349,0.753917837
445.45,20.30,62.93,-0.6634,406,,3.193,2.8489,387.11,17.46,34.1,2829.16,133.76,5,19.21,423.71,16.81,406,1.110430773,1.074752895,1.222498546,1.108636677
446.344,20.35,63.24,-0.6092,407,,3.211,2.7949,387.74,17.49,29.16,2838.58,134.13,8,19.23,424.13,14.18,407,0.92771293,0.848596837,1.048064895,0.897981061
447.239,20.40,63.99,-0.4771,408,,3.169,2.9179,388.16,17.51,40.23,2848.44,134.52,24,19.25,424.54,14.09,408,0.563930641,0.50630427,0.836241642,0.564244188
448.133,20.45,66.15,-0.0952,409,,3.218,2.7724,388.58,17.53,49.08,2864,135.22,8,19.27,424.96,15.29,409,0.98804998,0.9892342,1.313562209,1.030936182
449.028,20.50,65.27,-0.2518,410,,3.15,2.9721,389,17.55,60.6,2878.67,135.88,17,19.29,425.38,13.02,410,1.315281092,1.341530998,1.586844299,1.367638593
449.922,20.55,63.95,-0.4862,411,,3.286,2.5699,389.41,17.57,82.43,2882.89,136.07,14,19.31,425.8,9.65,411,1.250546079,1.286276349,1.490541496,1.304840683
450.817,20.60,64.70,-0.3541,412,,3.307,2.5070,389.83,17.59,89.97,2891.59,136.46,9,19.33,426.22,10.3,412,1.19738672,1.243000144,1.444793514,1.25804418
451.711,20.65,63.74,-0.5248,413,,3.384,2.2789,390.25,17.61,119.35,2900.75,136.87,8,19.35,426.63,11.06,413,1.043077668,1.168393436,1.387325149,1.161941672
452.606,20.70,65.67,-0.1837,414,,3.415,2.1865,390.67,17.63,115.79,2920.64,137.76,24,19.37,427.05,9.23,414,1.13205724,1.197304947,1.464422269,1.213407157
453.5,20.75,64.14,-0.4554,415,,3.414,2.1885,391.09,17.65,114.22,2935.8,138.46,28,19.39,427.47,9.89,415,1.2899377,1.310662773,1.393653771,1.320268239
454.394,20.80,67.34,0.1107,416,,3.505,1.9191,391.51,17.67,55.19,2948.59,139.06,8,19.41,427.89,8.03,416,1.283314892,1.308785872,1.365080444,1.313209624
455.289,20.85,67.88,0.2056,417,,3.572,1.7205,391.92,17.69,42.13,2965.64,139.86,7,19.43,428.31,8.57,417,0.639487123,0.68244551,0.844744021,0.69389649
456.183,20.90,69.61,0.5113,418,,3.748,1.2002,392.34,17.71,42.32,2982.4,140.66,29,19.45,428.73,10.88,418,1.02118705,1.061996522,1.111116029,1.059966668
457.078,20.95,61.29,-0.9629,419,,3.806,1.0282,392.76,17.73,18.79,3000.4,141.56,15,19.47,429.14,7.65,419,1.04325181,1.08885062,1.018890588,1.069432444
457.972,21.00,63.54,-0.5651,420,,3.771,1.1305,393.18,17.75,16.02,3017.6,142.42,40,19.49,429.56,11.51,420,0.916918148,0.960927957,0.860359682,0.939488741
458.867,21.05,63.60,-0.5552,421,,3.847,0.9054,393.6,17.77,22.97,3030.64,143.06,12,19.51,429.98,11.96,421,0.428218342,0.495536539,0.513879523,0.478839067
459.761,21.10,64.00,-0.4850,422,,3.943,0.6212,394.01,17.79,21.16,3044.09,143.72,23,19.53,430.4,11.87,422,-1.363231263,-1.23147667,-1.035899546,-1.252653468
460.656,21.15,70.85,0.7274,423,,4.021,0.3901,394.43,17.81,18.35,3048.57,143.94,21,19.55,430.82,11.56,423,-2.086655612,-1.92827055,-1.698711056,-1.956112776
461.55,21.20,68.25,0.2663,424,,3.921,0.6843,394.85,17.83,20.47,3063.16,144.53,13,19.57,431.24,11.53,424,-2.929736565,-2.742334601,-2.47500158,-2.777700182
462.445,21.25,67.64,0.1575,425,,4.304,-0.4468,395.48,17.86,14.33,3078.86,145.15,8,19.59,431.65,14.05,425,-3.076800771,-2.88135522,-2.602664994,-2.918294891
463.339,21.30,67.85,0.1940,426,,4.504,-1.0379,395.9,17.88,17.66,3086.46,145.45,8,19.61,432.07,11.76,426,-3.136259903,-2.93807032,-2.655369628,-2.975603665
464.234,21.35,65.58,-0.2087,427,,4.304,-0.4486,396.32,17.9,16.24,3100.01,145.91,6,19.63,432.49,12.08,427,-3.238145011,-3.037077296,-2.752925527,-3.075705405
465.128,21.40,64.38,-0.4219,428,,4.722,-1.6830,396.73,17.92,13.45,3114.41,146.37,6,19.65,432.91,11.58,428,-3.027277323,-2.831853359,-2.537351045,-2.866717022
466.023,21.45,68.63,0.3301,429,,4.915,-2.2534,397.15,17.94,21.25,3128.8,146.83,14,19.67,433.33,12.38,429,-2.999108726,-2.803058844,-2.518899261,-2.839253272
466.917,21.50,67.34,0.1010,430,,4.98,-2.4461,397.57,17.96,9.53,3137.96,147.15,33,19.69,433.74,9.89,430,-2.61946821,-2.437110416,-2.166171864,-2.469310486
467.812,21.55,72.55,1.0230,431,,5.051,-2.6565,397.99,17.98,12.77,3146.43,147.54,9,19.71,434.16,10.04,431,-2.597935692,-2.414310721,-2.137115451,-2.446034334
468.706,21.60,75.39,1.5252,432,,5.051,-2.6574,398.41,18,13.67,3153.39,147.86,5,19.73,434.58,8.04,432,-2.779371622,-2.587382038,-2.309175581,-2.622182053
469.601,21.65,74.72,1.4059,433,,5.085,-2.7587,398.82,18.02,16.5,3172.96,148.76,9,19.75,435,7.88,433,-2.681270891,-2.481031879,-2.213217771,-2.519058986
470.495,21.70,75.09,1.4707,434,,5.062,-2.6917,399.24,18.04,13.26,3182.86,149.16,6,19.77,435.42,11.29,434,-2.981027029,-2.783639784,-2.506525541,-2.821014716
471.39,21.75,74.19,1.3106,435,,5.018,-2.5628,399.66,18.06,7.94,3198.68,149.76,6,19.79,435.84,9.71,435,-2.568470533,-2.388910224,-2.122967538,-2.420646171
472.284,21.80,73.54,1.1948,436,,5.074,-2.7290,400.08,18.08,11.14,3209.23,150.16,4,19.81,436.25,12.22,436,-2.041650369,-1.883250908,-1.627179471,-1.907723125
473.179,21.85,80.82,2.4834,437,,4.898,-2.2105,400.5,18.1,15.51,3225.05,150.76,6,19.83,436.67,11.99,437,-1.117932528,-0.925415964,-0.608118916,-0.949255188
474.073,21.90,80.30,2.3906,438,,4.793,-1.9016,400.92,18.12,14.54,3254.07,151.86,11,19.85,437.09,11.17,438,0.203816445,0.433515035,0.756642393,0.405282961
474.968,21.95,79.68,2.2801,439,,4.875,-2.1445,401.33,18.14,48.21,3269.89,152.46,6,19.87,437.51,10.29,439,-0.040674594,0.160956534,0.499211268,0.141548169
475.862,22.00,78.93,2.1466,440,,4.765,-1.8209,401.75,18.16,10.02,3280.44,152.86,20,19.89,437.93,9.3,440,-0.921031507,-0.750348862,-0.499176409,-0.774948739
476.757,22.05,79.51,2.2486,441,,4.949,-2.3647,402.17,18.18,8.55,3290.99,153.26,37,19.91,438.35,8.91,441,-1.995044873,-1.822656153,-1.604711114,-1.85646585
477.651,22.10,81.48,2.5968,442,,4.963,-2.4069,402.59,18.2,14.12,3298.62,153.58,42,19.93,438.76,10.44,442,-0.23920267,-0.066396928,0.076268445,-0.102009074
478.546,22.15,81.16,2.5395,443,,4.906,-2.2397,403.22,18.23,10.54,3303.06,153.8,23,19.95,439.18,10.52,443,0.978945191,1.19373668,1.226484688,1.138229321
479.44,22.20,81.60,2.6167,444,,4.824,-1.9986,403.63,18.25,13.43,3307.5,154.02,27,19.97,439.6,10.03,444,1.120778897,1.431793978,1.389001826,1.339813427
480.335,22.25,80.49,2.4194,445,,4.888,-2.1884,404.05,18.27,12.37,3318.61,154.57,7,19.99,440.02,10.89,445,1.136815374,1.372735341,1.347751913,1.30515317
481.229,22.30,79.81,2.2983,446,,4.849,-2.0742,404.47,18.29,9.89,3327.49,155.01,5,20.01,440.44,10.52,446,0.954541819,1.141018847,1.12618437,1.088021345
482.124,22.35,79.58,2.2569,447,,4.506,-1.0630,404.89,18.31,8.11,3335.36,155.4,3,20.03,440.85,11.14,447,0.807196287,0.934076922,0.925346812,0.897917759
483.018,22.40,79.11,2.1729,448,,4.765,-1.8282,405.31,18.33,9.97,3339.19,155.59,5,20.05,441.27,10.84,448,0.731532249,0.810951156,0.717802925,0.779084246
483.913,22.45,78.80,2.1173,449,,4.725,-1.7111,405.73,18.35,13.33,3350.72,155.89,6,20.07,441.69,10.92,449,-0.721239789,-0.692198978,-0.600437216,-0.693374659
484.807,22.50,78.76,2.1096,450,,4.749,-1.7828,406.14,18.37,7.1,3375.46,156.49,10,20.09,442.11,11.33,450,-0.820571512,-0.858563063,-0.766057827,-0.838253981
485.702,22.55,78.90,2.1337,451,,4.582,-1.2910,406.56,18.39,16.28,3394.46,157.27,5,20.11,442.53,10.79,451,-0.918177019,-0.923243441,-0.806411614,-0.909834129
486.596,22.60,74.94,1.4317,452,,4.734,-1.7404,407.4,18.43,12.22,3412.16,158.09,17,20.13,442.95,11.45,452,-0.830273475,-0.80914197,-0.706399316,-0.805718093
487.491,22.65,79.21,2.1872,453,,4.559,-1.2249,407.82,18.45,12.55,3424.89,158.68,7,20.15,443.36,11.69,453,-0.870982656,-0.79991252,-0.78833443,-0.825744814
488.385,22.70,77.48,1.8801,454,,4.597,-1.3380,408.23,18.47,9.54,3433.53,159.08,15,20.17,443.78,11.84,454,-1.008735578,-0.936762159,-0.97912876,-0.969258558
489.28,22.75,79.59,2.2531,455,,4.413,-0.7960,408.65,18.49,10.32,3444.75,159.6,4,20.19,444.2,12.48,455,-1.170325531,-1.10291939,-1.123767037,-1.133510107
490.174,22.80,78.26,2.0169,456,,4.623,-1.4165,409.07,18.51,13.75,3462.02,160.4,13,20.21,444.62,12.12,456,-1.03222594,-0.980097477,-0.960391774,-1.000585423
491.069,22.85,79.49,2.2340,457,,4.628,-1.4322,409.49,18.53,8.51,,,,20.23,445.04,11.53,457,-0.887352443,-0.832727832,-0.91644261,-0.863578134
491.963,22.90,79.61,2.2546,458,,4.52,-1.1144,409.91,18.55,12.15,,,,20.25,445.45,11.77,458,-1.08810388,-1.01721116,-1.09680207,-1.054456501
492.858,22.95,79.23,2.1866,459,,4.626,-1.4281,410.32,18.57,8.22,,,,20.27,445.87,11.96,459,-1.014335771,-0.9583523,-0.947833575,-0.980103324
493.752,23.00,76.69,1.7360,460,,4.566,-1.2520,410.95,18.6,14.2,,,,20.29,446.29,13.4,460,-0.68013988,-0.603367225,-0.652718494,-0.635869769
494.647,23.05,77.67,1.9089,461,,4.586,-1.3119,411.79,18.64,12.13,,,,20.31,446.71,13.17,461,-0.7383185,-0.661856628,-0.776537318,-0.702842622
495.541,23.10,78.57,2.0676,462,,4.601,-1.3571,412.21,18.66,12.58,,,,20.33,447.13,13.38,462,-0.731230701,-0.650536234,-0.762239423,-0.69222066
496.436,23.15,79.65,2.2582,463,,4.614,-1.3964,412.62,18.68,8.33,,,,20.35,447.54,13.52,463,-0.772006467,-0.710180774,-0.815866672,-0.745405175
497.33,23.20,78.01,1.9670,464,,4.452,-0.9193,413.04,18.7,12.43,,,,20.37,447.96,13.67,464,-0.645216955,-0.580478713,-0.69007346,-0.616661145
498.225,23.25,78.37,2.0301,465,,4.572,-1.2743,413.46,18.72,7.73,,,,20.39,448.38,13.86,465,-0.491626148,-0.36645382,-0.469826745,-0.418207583
499.119,23.30,77.54,1.8824,466,,4.442,-0.8916,413.88,18.74,8.74,,,,20.41,448.8,13.21,466,-0.441791065,-0.340942734,-0.504423851,-0.393268071
500.014,23.35,76.38,1.6763,467,,4.441,-0.8896,414.3,18.76,7.85,,,,20.43,449.22,12.43,467,-0.270264246,-0.163747841,-0.352018562,-0.219048121
500.908,23.40,76.03,1.6136,468,,4.37,-0.6810,414.72,18.78,7.51,,,,20.45,449.64,13.69,468,-0.262228663,-0.167410687,-0.368249805,-0.22037608
501.803,23.45,75.38,1.4978,469,,4.511,-1.0980,415.13,18.8,19.67,,,,20.47,450.05,13.42,469,-0.252052499,-0.152696952,-0.283954669,-0.200143595
502.697,23.50,75.40,1.5006,470,,4.331,-0.5678,415.34,18.81,7.74,,,,20.49,450.47,15.18,470,-0.754757722,-0.623028808,-0.621657693,-0.665163549
503.592,23.55,74.68,1.3724,471,,4.249,-0.3267,415.76,18.83,14.28,,,,20.51,450.89,14.35,471,-1.218338089,-1.077274246,-0.947270545,-1.110959341
504.486,23.60,73.39,1.1433,472,,4.312,-0.5135,416.18,18.85,25.63,,,,20.53,451.31,14.08,472,-1.259252463,-1.122381951,-0.964301895,-1.154661633
505.381,23.65,73.22,1.1125,473,,4.364,-0.6679,416.6,18.87,15.64,,,,20.55,451.73,13.26,473,-1.241033779,-1.10466485,-0.963911608,-1.136689007
506.275,23.70,73.51,1.1631,474,,4.44,-0.8931,417.02,18.89,18.23,,,,20.57,452.15,11.06,474,-1.268651399,-1.12883454,-0.998034369,-1.162032994
507.17,23.75,74.30,1.3024,475,,4.31,-0.5104,417.43,18.91,8.86,,,,20.59,452.56,11.45,475,-1.449397505,-1.302529039,-1.161353517,-1.337126308
508.064,23.80,75.02,1.4292,476,,4.334,-0.5821,417.85,18.93,19.93,,,,20.61,452.98,11.02,476,-1.486479582,-1.330727406,-1.171699036,-1.367340471
508.959,23.85,75.24,1.4675,477,,4.25,-0.3352,418.27,18.95,14.81,,,,20.63,453.4,10.56,477,-1.2217671,-1.077722401,-0.92396935,-1.111400317
509.853,23.90,74.90,1.4065,478,,4.222,-0.2535,418.69,18.97,18.42,,,,20.65,453.82,11.47,478,-1.177749404,-1.033967618,-0.893638248,-1.067613004
510.748,23.95,74.14,1.2713,479,,4.134,0.0053,419.11,18.99,21.6,,,,20.67,454.24,11.62,479,-1.117178182,-0.978025367,-0.8524122,-1.01045712
511.642,24.00,75.08,1.4370,480,,4.12,0.0456,419.32,19,23.24,,,,20.69,454.66,12.45,480,-1.496285465,-1.341606787,-1.225978034,-1.378189062
512.535,24.05,74.91,1.4062,481,,4.172,-0.1087,419.74,19.02,22.34,,,,20.71,455.07,11.57,481,-1.557882147,-1.400896582,-1.28340028,-1.437250716
513.426,24.10,73.12,1.0885,482,,3.986,0.4392,420.15,19.04,32.44,,,,20.73,455.49,9.54,482,-1.229851553,-1.088059558,-0.956973049,-1.120934117
514.317,24.15,76.24,1.6404,483,,3.974,0.4737,420.57,19.06,35.03,,,,20.75,455.91,10.3,483,-1.000299434,-0.818597347,-0.736970541,-0.866430194
515.208,24.20,75.70,1.5441,484,,3.799,0.9892,420.99,19.08,45.7,,,,20.77,456.33,9.62,484,-1.016540324,-0.802170769,-0.773554551,-0.866471752
516.1,24.25,77.17,1.8037,485,,3.782,1.0384,421.41,19.1,29.42,,,,20.79,456.75,11.89,485,-1.173491841,-0.936978176,-0.948018565,-1.009680107
516.991,24.30,76.95,1.7641,486,,3.785,1.0286,421.83,19.12,56.88,,,,20.81,457.16,12.62,486,-1.213535669,-1.013000651,-0.988544032,-1.071594978
517.882,24.35,77.60,1.8785,487,,3.717,1.2284,422.24,19.14,84.5,,,,20.83,457.58,12.96,487,-1.462336898,-1.316795983,-1.228321631,-1.352455757
518.773,24.40,76.41,1.6671,488,,3.673,1.3573,422.66,19.16,54.59,,,,20.85,458,13.33,488,-1.693235538,-1.5424101,-1.424065856,-1.576966192
519.665,24.45,75.61,1.5247,489,,3.602,1.5659,423.08,19.18,144.54,,,,20.87,458.42,12.7,489,-1.224588906,-1.065034432,-0.990649157,-1.105470222
520.556,24.50,76.24,1.6356,490,,3.584,1.6181,423.29,19.19,64.96,,,,20.89,458.84,14.91,490,-1.102024479,-0.939001004,-0.880194997,-0.982890951
521.447,24.55,76.69,1.7146,491,,3.423,2.0922,423.71,19.21,150.44,,,,20.91,459.26,14.47,491,-0.516205227,-0.372881865,-0.293216372,-0.404934138
522.338,24.60,70.35,0.5911,492,,3.634,1.4687,424.13,19.23,50.04,,,,20.93,459.67,13.93,492,-0.333467403,-0.195375902,-0.124962434,-0.225422146
523.23,24.65,77.19,1.8017,493,,3.725,1.1992,424.54,19.25,140.96,,,,20.95,460.09,13.17,493,-0.124386847,-0.001394286,0.061551054,-0.029088775
524.121,24.70,76.81,1.7337,494,,3.831,0.8856,424.96,19.27,144.52,,,,20.97,460.51,11.29,494,-0.600510649,-0.502881673,-0.412383571,-0.52599921
525.012,24.75,71.09,0.7200,495,,3.852,0.8227,425.38,19.29,170.14,,,,21,461.14,11.88,495,-1.870848035,-1.74119427,-1.498033147,-1.75773161
525.903,24.80,76.18,1.6208,496,,3.817,0.9250,425.8,19.31,237.99,,,,21.03,461.77,11.28,496,-1.426550388,-1.317279,-1.066334543,-1.324288784
526.795,24.85,76.82,1.7334,497,,3.68,1.3284,426.22,19.33,143.97,,,,21.05,462.18,11.6,497,0.154416866,0.185165454,0.411154433,0.205955065
527.686,24.90,77.99,1.9400,498,,3.815,0.9291,426.63,19.35,126.38,,,,21.13,463.86,11.65,498,0.461046149,0.45412164,0.675599492,0.484927237
528.577,24.95,77.52,1.8560,499,,3.746,1.1318,427.05,19.37,187.23,,,,21.17,464.69,12.03,499,0.06153806,0.114974002,0.472412685,0.142526698
529.468,25.00,76.93,1.7509,500,,3.837,0.8623,427.47,19.39,138.28,,,,21.19,465.11,12.29,500,-1.107928025,-1.005131648,-0.731786145,-1.006441406
530.359,25.05,77.18,1.7944,501,,3.785,1.0149,427.89,19.41,69.55,,,,21.21,465.53,12.3,501,-0.249474262,-0.170465542,0.068506743,-0.165482503
531.251,25.10,77.40,1.8327,502,,3.771,1.0553,428.31,19.43,230.5,,,,21.22,465.74,12.01,502,0.412298155,0.478814399,0.680457162,0.484816692
532.142,25.15,77.15,1.7877,503,,3.793,0.9894,428.73,19.45,55.71,,,,21.24,466.15,12.83,503,0.89169629,0.942504171,1.139766787,0.954329414
